sweep,in_ch,out_ch,spatial,compile_ok,mean_us,std_us,min_us,tflops,gflops
out_ch_sweep_768,768,16,256,True,104.5,14.1,85.4,0.060,0.006
out_ch_sweep_768,768,32,256,True,106.9,16.5,80.8,0.118,0.013
out_ch_sweep_768,768,48,256,True,95.6,14.5,75.8,0.197,0.019
out_ch_sweep_768,768,64,256,True,104.5,16.6,84.5,0.241,0.025
out_ch_sweep_768,768,80,256,True,115.0,12.4,95.3,0.273,0.031
out_ch_sweep_768,768,96,256,True,93.3,13.5,73.9,0.404,0.038
out_ch_sweep_768,768,112,256,True,104.3,15.2,84.7,0.422,0.044
out_ch_sweep_768,768,128,256,True,106.8,14.6,84.2,0.471,0.050
out_ch_sweep_768,768,144,256,True,93.4,17.7,67.2,0.607,0.057
out_ch_sweep_768,768,160,256,True,100.7,13.3,82.9,0.625,0.063
out_ch_sweep_768,768,176,256,True,109.4,23.1,79.5,0.633,0.069
out_ch_sweep_768,768,192,256,True,97.0,15.9,76.2,0.779,0.075
out_ch_sweep_768,768,208,256,True,114.2,21.5,76.5,0.716,0.082
out_ch_sweep_768,768,224,256,True,115.7,13.2,92.1,0.761,0.088
out_ch_sweep_768,768,240,256,True,113.1,15.3,94.2,0.835,0.094
out_ch_sweep_768,768,256,256,True,98.1,14.4,80.6,1.026,0.101
out_ch_sweep_768,768,272,256,True,113.0,12.0,97.9,0.946,0.107
out_ch_sweep_768,768,288,256,True,119.3,17.3,82.1,0.949,0.113
out_ch_sweep_768,768,304,256,True,91.1,12.1,75.6,1.312,0.120
out_ch_sweep_768,768,320,256,True,109.5,21.2,77.6,1.149,0.126
out_ch_sweep_768,768,336,256,True,114.5,9.5,99.8,1.154,0.132
out_ch_sweep_768,768,352,256,True,124.1,13.0,101.3,1.115,0.138
out_ch_sweep_768,768,368,256,True,94.6,13.2,79.2,1.530,0.145
out_ch_sweep_768,768,384,256,True,115.3,20.5,86.8,1.309,0.151
out_ch_sweep_768,768,400,256,True,116.3,12.0,93.6,1.353,0.157
out_ch_sweep_768,768,416,256,True,125.0,8.3,109.2,1.309,0.164
out_ch_sweep_768,768,432,256,True,124.6,19.5,81.8,1.363,0.170
out_ch_sweep_768,768,448,256,True,107.9,21.6,81.0,1.633,0.176
out_ch_sweep_768,768,464,256,True,102.9,14.0,86.5,1.773,0.182
out_ch_sweep_768,768,480,256,True,128.0,15.7,84.8,1.474,0.189
out_ch_sweep_768,768,496,256,True,125.3,20.9,84.4,1.556,0.195
out_ch_sweep_768,768,512,256,True,122.8,25.5,85.2,1.639,0.201
out_ch_sweep_768,768,528,256,True,126.2,17.7,93.2,1.645,0.208
out_ch_sweep_768,768,544,256,True,103.8,13.8,84.0,2.061,0.214
out_ch_sweep_768,768,560,256,True,96.6,7.8,85.6,2.281,0.220
out_ch_sweep_768,768,576,256,True,126.2,25.1,87.3,1.794,0.226
out_ch_sweep_768,768,592,256,True,142.2,3.2,136.5,1.637,0.233
out_ch_sweep_768,768,608,256,True,144.0,6.1,137.0,1.660,0.239
out_ch_sweep_768,768,624,256,True,143.9,6.1,137.5,1.705,0.245
out_ch_sweep_768,768,640,256,True,145.2,4.3,138.4,1.733,0.252
out_ch_sweep_768,768,656,256,True,123.9,25.3,83.2,2.082,0.258
out_ch_sweep_768,768,672,256,True,113.8,19.0,92.0,2.321,0.264
out_ch_sweep_768,768,688,256,True,126.3,27.4,92.0,2.141,0.271
out_ch_sweep_768,768,704,256,True,156.1,22.7,121.9,1.774,0.277
out_ch_sweep_768,768,720,256,True,133.8,26.3,92.6,2.117,0.283
out_ch_sweep_768,768,736,256,True,141.1,22.6,113.2,2.051,0.289
out_ch_sweep_768,768,752,256,True,143.8,26.0,113.3,2.056,0.296
out_ch_sweep_768,768,768,256,True,136.6,22.9,101.6,2.211,0.302
out_ch_sweep_768,768,784,256,True,143.6,22.6,116.5,2.147,0.308
out_ch_sweep_768,768,800,256,True,142.9,24.5,111.6,2.201,0.315
out_ch_sweep_768,768,816,256,True,143.2,23.5,118.4,2.240,0.321
out_ch_sweep_768,768,832,256,True,140.0,25.8,109.3,2.336,0.327
out_ch_sweep_768,768,848,256,True,137.6,27.3,105.6,2.424,0.333
out_ch_sweep_768,768,864,256,True,130.3,27.5,97.5,2.608,0.340
out_ch_sweep_768,768,880,256,True,133.8,23.3,105.3,2.585,0.346
out_ch_sweep_768,768,896,256,True,149.3,25.0,110.0,2.361,0.352
out_ch_sweep_768,768,912,256,True,149.8,23.1,114.8,2.394,0.359
out_ch_sweep_768,768,928,256,True,148.9,23.0,114.5,2.450,0.365
out_ch_sweep_768,768,944,256,True,167.6,25.3,124.3,2.214,0.371
out_ch_sweep_768,768,960,256,True,157.6,21.0,119.8,2.396,0.377
out_ch_sweep_768,768,976,256,True,150.2,25.3,114.3,2.555,0.384
out_ch_sweep_768,768,992,256,True,144.8,25.5,101.2,2.693,0.390
out_ch_sweep_768,768,1008,256,True,137.2,23.0,105.8,2.888,0.396
out_ch_sweep_768,768,1024,256,True,139.3,12.9,115.8,2.891,0.403
out_ch_sweep_768,768,1040,256,True,154.1,6.8,130.4,2.654,0.409
out_ch_sweep_768,768,1056,256,True,152.9,7.9,128.5,2.715,0.415
out_ch_sweep_768,768,1072,256,True,161.8,10.1,146.6,2.606,0.422
out_ch_sweep_768,768,1088,256,True,153.5,23.5,112.9,2.788,0.428
out_ch_sweep_768,768,1104,256,True,135.2,21.4,106.4,3.210,0.434
out_ch_sweep_768,768,1120,256,True,122.9,18.3,102.1,3.584,0.440
out_ch_sweep_768,768,1136,256,True,139.7,22.1,106.3,3.198,0.447
out_ch_sweep_768,768,1152,256,True,133.9,19.6,107.2,3.382,0.453
out_ch_sweep_768,768,1168,256,True,132.6,16.8,110.9,3.465,0.459
out_ch_sweep_768,768,1184,256,True,156.5,7.3,130.8,2.975,0.466
out_ch_sweep_768,768,1200,256,True,151.1,7.4,132.2,3.123,0.472
out_ch_sweep_768,768,1216,256,True,150.5,8.5,129.8,3.177,0.478
out_ch_sweep_768,768,1232,256,True,156.9,10.1,132.2,3.087,0.484
out_ch_sweep_768,768,1248,256,True,138.1,21.9,110.5,3.553,0.491
out_ch_sweep_768,768,1264,256,True,149.4,13.9,126.5,3.327,0.497
out_ch_sweep_768,768,1280,256,True,143.0,13.1,123.2,3.519,0.503
out_ch_sweep_768,768,1296,256,True,149.6,9.4,124.7,3.408,0.510
out_ch_sweep_768,768,1312,256,True,142.5,15.6,106.4,3.620,0.516
out_ch_sweep_768,768,1328,256,True,147.6,22.1,115.5,3.537,0.522
out_ch_sweep_768,768,1344,256,True,136.8,13.0,113.8,3.864,0.528
out_ch_sweep_768,768,1360,256,True,145.4,17.5,111.7,3.677,0.535
out_ch_sweep_768,768,1376,256,True,153.3,11.2,122.0,3.530,0.541
out_ch_sweep_768,768,1392,256,True,152.8,9.3,130.6,3.582,0.547
out_ch_sweep_768,768,1408,256,True,155.5,10.3,128.0,3.561,0.554
out_ch_sweep_768,768,1424,256,True,144.4,14.5,119.2,3.878,0.560
out_ch_sweep_768,768,1440,256,True,143.3,10.8,124.3,3.952,0.566
out_ch_sweep_768,768,1456,256,True,146.5,14.8,118.2,3.907,0.573
out_ch_sweep_768,768,1472,256,True,152.4,7.5,130.9,3.797,0.579
out_ch_sweep_768,768,1488,256,True,144.0,17.8,113.6,4.064,0.585
out_ch_sweep_768,768,1504,256,True,156.8,4.5,150.7,3.771,0.591
out_ch_sweep_768,768,1520,256,True,148.2,14.9,126.1,4.033,0.598
out_ch_sweep_768,768,1536,256,True,6942.3,99.7,6815.7,0.087,0.604
out_ch_sweep_768,768,1552,256,True,7000.4,100.6,6836.5,0.087,0.610
out_ch_sweep_768,768,1568,256,True,153.9,14.3,122.4,4.006,0.617
